Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
4 Privet Drive	Base_Set	4_Privet_Drive	Adventure				U			Effect: Your opponent can't play Spell cards.  To Solve: Your opponent chooses 6 cards in his or her hand and discards them.  Opponent's Reward: Your opponent may draw a card.
5 Points from Gryffindor	Adventures_at_Hogwarts	5_Points_from_Gryffindor	Adventure				U			Play this card only if you have at least 5 Lessons in play.  Effect: Your opponent gets 1 fewer Action on each of his or her turns (even the turn this Adventure is solved). (If this would mean your opponent would have fewer than 1 Action, he or she still gets 1 Action.)  To Solve: Your opponent chooses 5 cards from his or her hand and discards them.  Opponent's Reward: You take 5 damage.
A Beginner's Guide to Transfiguration	Diagon_Alley	A_Beginner's_Guide_to_Transfiguration	Item - Book	2T			C		Transfiguration	Provides [T].  You may use an Action and discard this card from play to draw 3 cards.
Accio	Base_Set	Accio	Spell	2C			C		Charms	Put up to 2 Lesson cards from your discard pile into your hand.
Albus Dumbledore	Adventures_at_Hogwarts	Albus_Dumbledore	Character - Wizard				R	Unique		If you have at least 4 Lessons in play, your Spell cards with a printed Power cost of 6 or more need 2 less Power to play. (You still need at least 1 Power that matches.)
Alchemy	Base_Set	Alchemy	Spell	2T			U		Transfiguration	Search your deck. You may take up to 2 Lesson cards from your deck, show them to your opponent, and put them in your hand. Then shuffle your deck.
Alihotsy Draught	Diagon_Alley	Alihotsy_Draught	Spell	7P			U		Potions	Do 6 damage to your opponent or choose 1 of his or her Items in play and discard it.
Alohomora	Adventures_at_Hogwarts	Alohomora	Spell	4C			U		Charms	Search your deck. You may take a Location or Adventure card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Angelina Johnson	Chamber_of_Secrets	Angelina_Johnson	Character - Witch - Gryffindor				R	Unique		Before each of your turns, if there is a Match in play, you get 1 more Action that turn
Angel's Trumpet Draught	Chamber_of_Secrets	Angel's_Trumpet_Draught	Spell	4P			U		Potions	To play this card, return 2 of your [P] Lessons from play to your hand. Do 7 damage to your opponent or to a Creature of your choice.
Anti-Cheating Spell	Adventures_at_Hogwarts	Anti-Cheating_Spell	Spell	3C			C		Charms	Look at your opponent's hand. If there are any Lessons there, choose 1 of them and discard it.
Aparecium	Chamber_of_Secrets	Aparecium	Spell	5T			C		Transfiguration	Show your hand to your opponent. Put all Lesson cards there into play.
Apothecary	Base_Set	Apothecary	Spell	5P			U		Potions	To play this card, discard 2 other cards from your hand. Search your deck. You may take a card that needs [P] Power from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Apparate	Base_Set	Apparate	Spell	1T			U		Transfiguration	Discard the Adventure your opponent has played. You don't get the reward.
Argus Filch	Adventures_at_Hogwarts	Argus_Filch	Character				R	Unique		You may use an Action to discard an Adventure from play (yours or your opponent's). (You don't get the reward.)
Arthur Weasley	Chamber_of_Secrets	Arthur_Weasley	Character - Wizard				R	Unique		Once per turn, you may use an Action to choose 1 of your Items in play and do damage to your opponent equal to its printed Power cost.
Avifors	Base_Set	Avifors	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [F] Lessons in play and discard it.
Baby Dragon	Base_Set	Baby_Dragon	Creature - Dragon	3F	3	2	U		Creatures	To play this card, discard 1 of your [F] Lessons from play.
Backfire!	Chamber_of_Secrets	Backfire	Spell	6C			C		Charms	Do 5 damage to your opponent.
Badgered Boy	Chamber_of_Secrets	Badgered_Boy	Spell	4T			C		Transfiguration	Search your deck. You may take a Creature card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Baneberry Potion	Adventures_at_Hogwarts	Baneberry_Potion	Spell	3P			U		Potions	To play this card, discard 2 of your [P] Lessons from play. Do 8 damage to your opponent or to a Creature of your choice.
Barn Owl	Diagon_Alley	Barn_Owl	Creature - Owl	3F	1	1	U		Creatures	When you play this card, you may discard 1 of your [F] Lessons from play to put a Creature card from your discard pile into your hand.
Baubillious	Base_Set	Baubillious	Spell	2C			C		Charms	Do 1 damage to your opponent or to a Creature of your choice. Then draw a card.
Beater Grabs the Snitch	Diagon_Alley	Beater_Grabs_the_Snitch	Spell	4Q			R		Quidditch	Return a match in play to its owner's hand.
Beater's Bat	Chamber_of_Secrets	Beater's_Bat	Item	4Q			C		Quidditch	You may use an Action and discard a card from your hand to do 2 damage to your opponent.
Beetle Buttons	Chamber_of_Secrets	Beetle_Buttons	Spell	6T			C		Transfiguration	Choose 1 of your opponent's Creatures in play and discard it.
Beetle Eyes	Diagon_Alley	Beetle_Eyes	Item - Beetle Eyes	5P			U		Potions	When you play this card, do 4 damage to your opponent. You may use an Action to discard this and Eel Eyes from play to search your deck. You may take a Bulgeye Potion card from your deck and put it into play. Then shuffle your deck.
Bewitched Snowballs	Adventures_at_Hogwarts	Bewitched_Snowballs	Spell	5C			C		Charms	Do 3 damage to your opponent or to a Creature of your choice. Then draw a card.
Biased Commentary	Diagon_Alley	Biased_Commentary	Spell	3Q			U		Quidditch	The next time this turn you play a Spell card that needs [Q] Power, if that card does damage to your opponent, it does 5 more damage.
