Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
4 Privet Drive	Base_Set	4_Privet_Drive.png	Adventure				U			Effect: Your opponent can't play Spell cards.  To Solve: Your opponent chooses 6 cards in his or her hand and discards them.  Opponent's Reward: Your opponent may draw a card.
Accio	Base_Set	Accio.png	Spell	2C			C		Charms	Put up to 2 Lesson cards from your discard pile into your hand.
Alchemy	Base_Set	Alchemy.png	Spell	2T			U		Transfiguration	"Search your deck. You may take up to 2 Lesson cards from your deck, show them to your opponent, and put them in your hand. Then shuffle your deck."
Apothecary	Base_Set	Apothecary.png	Spell	5P			U		Potions	"To play this card, discard 2 other cards from your hand. Search your deck. You may take a card that needs [P] Power from your deck, show it to your opponent and put it into your hand. Then shuffle your deck."
Apparate	Base_Set	Apparate.png	Spell	1T			U		Transfiguration	Discard the Adventure your opponent has played. You don't get the reward.
Avifors	Base_Set	Avifors.png	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [F] Lessons in play and discard it.
Baby Dragon	Base_Set	Baby_Dragon.png	Creature - Dragon	3F	3	2	U		Creatures	"To play this card, discard 1 of your [F] Lessons from play."
Baubillious	Base_Set	Baubillious.png	Spell	2C			C		Charms	Do 1 damage to your opponent or to a Creature of your choice. Then draw a card.
Bluebell Flames	Base_Set	Bluebell_Flames.png	Spell	7C			U		Charms	Do 4 damage to your opponent or to a Creature of your choice.
Boa Constrictor	Base_Set	Boa_Constrictor.png	Creature - Snake	4F	2	2	C		Creatures	
Boil Cure	Base_Set	Boil_Cure.png	Spell - Healing	1P			C		Potions	Put up to 4 non-Healing cards from your discard pile on the bottom of your deck (in any order).
Borrowed Wand	Base_Set	Borrowed_Wand.png	Item - Wand	3C			C		Charms	"Provides 2[C].  If you play this card, and you already have a Wand in play, discard the old one."
Burning Bitterroot Balm	Base_Set	Burning_Bitterroot_Balm.png	Spell - Healing	6P			U		Potions	"To play this card, discard 1 of your [P] Lessons from play. Shuffle up to 10 non-Healing cards from your discard pile into your deck."
Cage	Base_Set	Cage.png	Item	2F			U		Creatures	"Provides [F].  During your turn, you may discard this card from play and use an Action to choose a Creature in play (yours or your opponent's) and return it to it's owner's hand."
Care of Magical Creatures	Base_Set	Care_of_Magical_Creatures.png	Lesson				C		Lesson - Creatures	Provides [F]
Cauldron to Sieve	Base_Set	Cauldron_to_Sieve.png	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [P] Lessons in play and discard it.
Charms	Base_Set	Charms.png	Lesson				C		Lesson - Charms	Provides [C]
Confundus	Base_Set	Confundus.png	Spell	5C			U		Charms	Your opponent chooses 2 cards in his or her hand and discards them (1 if he or she only has 1).
Curious Raven	Base_Set	Curious_Raven.png	Creature - Bird	2F	1	1	C		Creatures	
Dean Thomas	Base_Set	Dean_Thomas.png	Character - Wizard - Gryffindor				R	Unique		"Once per game, you may draw 3 cards."
Delivery Owl	Base_Set	Delivery_Owl.png	Creature - Owl	2F		1	R		Creatures	"To play this card, discard 1 of your [F] Lessons from play. Before each of your turns, draw a card."
Diagon Alley	Base_Set	Diagon_Alley.png	Adventure				U			Effect: Your opponent can't use Actions to draw cards.  To Solve: Your opponent skips a total of 7 Actions. (Those Actions don't need to be one right after the other.)  Opponent's Reward: Your opponent may draw any number of cards.
Dogbreath Potion	Base_Set	Dogbreath_Potion.png	Spell	6P			U		Potions	"To play this card, discard 1 of your [P] Lessons from play. Do 8 damage to your opponent or to a Creature of your choice."
Draco Malfoy	Base_Set	Draco_Malfoy.png	Character - Wizard - Slytherin				R	Unique		"During your turn, you may use an Action and discard a card from your hand to look at your opponent's hand. You may then choose one card in his or her hand and discard it."
Draco's Trick	Base_Set	Draco's_Trick.png	Spell	7T			U		Transfiguration	Discard the Adventure you've played. You get the reward.
Dragon Heart Wand	Base_Set	Dragon_Heart_Wand.png	Item - Wand	5C			U		Charms	"Provides 3[C].  Play this card only if you have cards in play that provides at least 2[C] Power. If you play this card, and you already have a Wand in play, discard the old one."
Dragon's Escape	Base_Set	Dragon's_Escape.png	Adventure				R			"Effect: Before each of your turns, your opponent takes 1 damage.  To Solve: Your opponent chooses 3 of his or her Lessons in play and discards them.  Opponent's Reward: Your opponent draws 3 cards or does 3 damage to you."
Draught of Living Death	Base_Set	Draught_of_Living_Death.png	Spell	8P			R		Potions	"To play this card, discard 2 of your [P] Lessons from play. Do 12 damage to your opponent or to a Creature of your choice."
Dungbomb	Base_Set	Dungbomb.png	Spell	2P			C		Potions	"During your opponent's next turn, prevent all damage done to you by your opponent's Adventures and Creatures."
Elixir of Life	Base_Set	Elixer_of_Life.png	Spell - Healing	10P			R		Potions	"To play this card, discard 2 of your [P] Lessons from play. Shuffle up to 16 non-Healing cards from your discard pile into your deck."
Epoximise	Base_Set	Epoximise.png	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [C] Lessons in play and discard it.
Erumpent Potion	Base_Set	Erumpent_Potion.png	Spell	3P			C		Potions	Do 1 damage to your opponent or to a Creature of your choice.
Fluffy Falls Asleep	Base_Set	Fluffly_Falls_Asleep.png	Spell	3F			C		Creatures	Choose a Creature in play and return it to its owner's hand.
Forest Troll	Base_Set	Forest_Troll.png	Creature - Troll	2F	2	3	C		Creatures	"To play this card, discard 1 of your [F] Lessons from play."
Forgetfulness Potion	Base_Set	Forgetfulness_Potion.png	Spell	7P			C		Potions	"To play this card, discard 1 of your [P] Lessons from play. During your opponent's next turn, he or she can't play cards."
Foul Brew	Base_Set	Foul_Brew.png	Spell	5P			C		Potions	Do 2 damage to your opponent or to a Creature of your choice.
Fumos	Base_Set	Fumos.png	Spell	7C			U		Charms	Do 2 damage to each Creature (even your own).
Giant Tarantula	Base_Set	Giant_Tarantula.png	Creature - Spider	1F	2	1	C		Creatures	"To play this card, discard 1 of your [F] Lessons from play."
Gringotts' Cart Ride	Base_Set	Gringotts'_Cart_Ride.png	Adventure				R			"Effect: Before each of your opponent's turns, he or she chooses a card in his or her hand (if any) and discards it.  To Solve: Your opponent skips a total of 5 Actions. (Those Actions don't have to be one right after the other.)  Opponent's Reward: Your opponent may draw 5 cards."
Guard Dog	Base_Set	Guard_Dog.png	Creature - Dog	7F	3	5	U		Creatures	
Hagrid and the Stranger	Base_Set	Hagrid_and_the_Stranger.png	Spell	4F			C		Creatures	Put a Creature card from your discard pile into your hand.
Hannah Abbott	Base_Set	Hannah_Abbott.png	Character - Witch - Hufflepuff				R	Unique		Once per game you may trade 2 cards in your hand for 2 non-Healing cards in your discard pile.
